t,x,v,a
1.042,3.96,5,0
1.043,3.965,5,0
1.044,3.97,5,0
1.045,3.975,5,0
1.046,3.98,5,0
1.047,3.985,5,0
1.048,3.99,5,0
1.049,3.995,5,0
1.05,4,5,0
1.051,4.005,5,0
1.052,4.01,5,0
1.053,4.015,5,0
1.054,4.02,5,0
1.055,4.025,5,0
1.056,4.03,5,0
1.057,4.035,5,0
1.058,4.04,5,0
1.059,4.045,5,0
1.06,4.05,5,0
1.061,4.055,5,0
1.062,4.06,5,0
1.063,4.065,5,0
1.064,4.07,5,0
1.065,4.075,5,0
1.066,4.08,5,0
1.067,4.085,5,0
1.068,4.09,5,0
1.069,4.095,5,0
1.07,4.1,5,0
1.071,4.105,5,0
1.072,4.11,5,0
1.073,4.115,5,0
1.074,4.12,5,0
1.075,4.125,5,0
1.076,4.13,5,0
1.077,4.135,5,0
1.078,4.14,5,0
1.079,4.145,5,0
1.08,4.15,5,0
1.081,4.155,5,0
1.082,4.16,5,0
1.083,4.165,5,0
1.084,4.17,5,0
1.085,4.175,5,0
1.086,4.18,5,0
1.087,4.185,5,0
1.088,4.19,5,0
1.089,4.195,5,0
1.09,4.2,5,0
1.091,4.205,5,0
1.092,4.21,5,0
1.093,4.215,5,0
1.094,4.22,5,0
1.095,4.225,5,0
1.096,4.23,5,0
1.097,4.235,5,0
1.098,4.24,5,0
1.099,4.245,5,0
1.1,4.25,5,0
1.101,4.255,5,0
1.102,4.26,5,0
1.103,4.265,5,0
1.104,4.27,5,0
1.105,4.275,5,0
1.106,4.28,5,0
1.107,4.285,5,0
1.108,4.29,5,0
1.109,4.295,5,0
1.11,4.3,5,0
1.111,4.305,5,0
1.112,4.31,5,0
1.113,4.315,5,0
1.114,4.32,5,0
1.115,4.325,5,0
1.116,4.33,5,0
1.117,4.335,5,0
1.118,4.34,5,0
1.119,4.345,5,0
1.12,4.35,5,0
1.121,4.355,5,0
1.122,4.36,5,0
1.123,4.365,5,0
1.124,4.37,5,0
1.125,4.375,5,0
1.126,4.38,5,0
1.127,4.385,5,0
1.128,4.39,5,0
1.129,4.395,5,0
1.13,4.4,5,0
1.131,4.405,5,0
1.132,4.41,5,0
1.133,4.415,5,0
1.134,4.42,5,0
1.135,4.425,5,0
1.136,4.43,5,0
1.137,4.435,5,0
1.138,4.44,5,0
1.139,4.445,5,0
1.14,4.45,5,0
1.141,4.455,5,0
1.142,4.46,5,0
1.143,4.465,5,0
1.144,4.47,5,0
1.145,4.475,5,0
1.146,4.48,5,0
1.147,4.485,5,0
1.148,4.49,5,0
1.149,4.495,5,0
1.15,4.5,5,0
1.151,4.505,5,0
1.152,4.51,5,0
1.153,4.515,5,0
1.154,4.52,5,0
1.155,4.525,5,0
1.156,4.53,5,0
1.157,4.535,5,0
1.158,4.54,5,0
1.159,4.545,5,0
1.16,4.55,5,0
1.161,4.555,5,0
1.162,4.56,5,0
1.163,4.565,5,0
1.164,4.57,5,0
1.165,4.575,5,0
1.166,4.58,5,0
1.167,4.585,5,0
1.168,4.59,5,0
1.169,4.595,5,0
1.17,4.6,5,0
1.171,4.605,5,0
1.172,4.61,5,0
1.173,4.615,5,0
1.174,4.62,5,0
1.175,4.625,5,0
1.176,4.63,5,0
1.177,4.635,5,0
1.178,4.64,5,0
1.179,4.645,5,0
1.18,4.65,5,0
1.181,4.655,5,0
1.182,4.66,5,0
1.183,4.665,5,0
1.184,4.67,5,0
1.185,4.675,5,0
1.186,4.68,5,0
1.187,4.685,5,0
1.188,4.69,5,0
1.189,4.695,5,0
1.19,4.7,5,0
1.191,4.705,5,0
1.192,4.71,5,0
1.193,4.715,5,0
1.194,4.72,5,0
1.195,4.725,5,0
1.196,4.73,5,0
1.197,4.735,5,0
1.198,4.74,5,0
1.199,4.745,5,0
1.2,4.75,5,0
1.201,4.755,5,0
1.202,4.76,5,0
1.203,4.765,5,0
1.204,4.77,5,0
1.205,4.775,5,0
1.206,4.78,5,0
1.207,4.785,5,0
1.208,4.79,5,0
1.209,4.795,5,0
1.21,4.8,5,0
1.211,4.805,5,0
1.212,4.81,5,0
1.213,4.815,5,0
1.214,4.82,5,0
1.215,4.825,5,0
1.216,4.83,5,0
1.217,4.835,5,0
1.218,4.84,5,0
1.219,4.845,5,0
1.22,4.85,5,0
1.221,4.855,5,0
1.222,4.86,5,0
1.223,4.865,5,0
1.224,4.87,5,0
1.225,4.875,5,0
1.226,4.88,5,0
1.227,4.885,5,0
1.228,4.89,5,0
1.229,4.895,5,0
1.23,4.9,5,0
1.231,4.905,5,0
1.232,4.91,5,0
1.233,4.915,5,0
1.234,4.92,5,0
1.235,4.925,5,0
1.236,4.93,5,0
1.237,4.935,5,0
1.238,4.94,5,0
1.239,4.945,5,0
1.24,4.95,5,0
1.241,4.955,5,0
1.242,4.96,5,0
1.243,4.965,5,0
1.244,4.97,5,0
1.245,4.975,5,0
1.246,4.98,5,0
1.247,4.985,5,0
1.248,4.99,5,0
1.249,4.995,5,0
1.25,5,5,0
1.251,5.005,5,0
1.252,5.01,5,0
1.253,5.015,5,0
1.254,5.02,5,0
1.255,5.025,5,0
1.256,5.03,5,0
1.257,5.035,5,0
1.258,5.04,5,0
1.259,5.045,5,0
1.26,5.05,5,0
1.261,5.055,5,0
1.262,5.06,5,0
1.263,5.065,5,0
1.264,5.07,5,0
1.265,5.075,5,0
1.266,5.08,5,0
1.267,5.085,5,0
1.268,5.09,5,0
1.269,5.095,5,0
1.27,5.1,5,0
1.271,5.105,5,0
1.272,5.11,5,0
1.273,5.115,5,0
1.274,5.12,5,0
1.275,5.125,5,0
1.276,5.13,5,0
1.277,5.135,5,0
1.278,5.14,5,0
1.279,5.145,5,0
1.28,5.15,5,0
1.281,5.155,5,0
1.282,5.16,5,0
1.283,5.165,5,0
1.284,5.17,5,0
1.285,5.175,5,0
1.286,5.18,5,0
1.287,5.185,5,0
1.288,5.19,5,0
1.289,5.195,5,0
1.29,5.2,5,0
1.291,5.205,5,0
1.292,5.21,5,0
1.293,5.215,5,0
1.294,5.22,5,0
1.295,5.225,5,0
1.296,5.23,5,0
1.297,5.235,5,0
1.298,5.24,5,0
1.299,5.245,5,0
1.3,5.25,5,0
1.301,5.255,5,0
1.302,5.26,5,0
1.303,5.265,5,0
1.304,5.27,5,0
1.305,5.275,5,0
1.306,5.28,5,0
1.307,5.285,5,0
1.308,5.29,5,0
1.309,5.295,5,0
1.31,5.3,5,0
1.311,5.305,5,0
1.312,5.31,5,0
1.313,5.315,5,0
1.314,5.32,5,0
1.315,5.325,5,0
1.316,5.33,5,0
1.317,5.335,5,0
1.318,5.34,5,0
1.319,5.345,5,0
1.32,5.35,5,0
1.321,5.355,5,0
1.322,5.36,5,0
1.323,5.365,5,0
1.324,5.37,5,0
1.325,5.375,5,0
1.326,5.38,5,0
1.327,5.385,5,0
1.328,5.39,5,0
1.329,5.395,5,0
1.33,5.4,5,0
1.331,5.405,5,0
1.332,5.41,5,0
1.333,5.415,5,0
1.334,5.42,5,0
1.335,5.425,5,0
1.336,5.43,5,0
1.337,5.435,5,0
1.338,5.44,5,0
1.339,5.445,5,0
1.34,5.45,5,0
1.341,5.455,5,0
1.342,5.46,5,0
1.343,5.465,5,0
1.344,5.47,5,0
1.345,5.475,5,0
1.346,5.48,5,0
1.347,5.485,5,0
1.348,5.49,5,0
1.349,5.495,5,0
1.35,5.5,5,0
1.351,5.505,5,0
1.352,5.51,5,0
1.353,5.515,5,0
1.354,5.52,5,0
1.355,5.525,5,0
1.356,5.53,5,0
1.357,5.535,5,0
1.358,5.54,5,0
1.359,5.545,5,0
1.36,5.55,5,0
1.361,5.555,5,0
1.362,5.56,5,0
1.363,5.565,5,0
1.364,5.57,5,0
1.365,5.575,5,0
1.366,5.58,5,0
1.367,5.585,5,0
1.368,5.59,5,0
1.369,5.595,5,0
1.37,5.6,5,0
1.371,5.605,5,0
1.372,5.61,5,0
1.373,5.615,5,0
1.374,5.62,5,0
1.375,5.625,5,0
1.376,5.63,5,0
1.377,5.635,5,0
1.378,5.64,5,0
1.379,5.645,5,0
1.38,5.65,5,0
1.381,5.655,5,0
1.382,5.66,5,0
1.383,5.665,5,0
1.384,5.67,5,0
1.385,5.675,5,0
1.386,5.68,5,0
1.387,5.685,5,0
1.388,5.69,5,0
1.389,5.695,5,0
1.39,5.7,5,0
1.391,5.705,5,0
1.392,5.71,5,0
1.393,5.715,5,0
1.394,5.72,5,0
1.395,5.725,5,0
1.396,5.73,5,0
1.397,5.735,5,0
1.398,5.74,5,0
1.399,5.745,5,0
1.4,5.75,5,0
1.401,5.755,5,0
1.402,5.76,5,0
1.403,5.765,5,0
1.404,5.77,5,0
1.405,5.775,5,0
1.406,5.78,5,0
1.407,5.785,5,0
1.408,5.79,5,0
1.409,5.795,5,0
1.41,5.8,5,0
1.411,5.805,5,0
1.412,5.81,5,0
1.413,5.815,5,0
1.414,5.82,5,0
1.415,5.825,5,0
1.416,5.83,5,0
1.417,5.835,5,0
1.418,5.84,5,0
1.419,5.845,5,0
1.42,5.85,5,0
1.421,5.855,5,0
1.422,5.86,5,0
1.423,5.865,5,0
1.424,5.87,5,0
1.425,5.875,5,0
1.426,5.88,5,0
1.427,5.885,5,0
1.428,5.89,5,0
1.429,5.895,5,0
1.43,5.9,5,0
1.431,5.905,5,0
1.432,5.91,5,0
1.433,5.915,5,0
1.434,5.92,5,0
1.435,5.925,5,0
1.436,5.93,5,0
1.437,5.935,5,0
1.438,5.94,5,0
1.439,5.945,5,0
1.44,5.95,5,0
1.441,5.955,5,0
1.442,5.96,5,0
1.443,5.965,5,0
1.444,5.97,5,0
1.445,5.975,5,0
1.446,5.98,5,0
1.447,5.985,5,0
1.448,5.99,5,0
1.449,5.995,5,0
1.45,6,5,0
1.451,6.005,5,0
1.452,6.01,5,0
1.453,6.015,5,0
1.454,6.02,5,0
1.455,6.025,5,0
1.456,6.03,5,0
1.457,6.035,5,0
1.458,6.04,5,0
1.459,6.045,5,0
1.46,6.05,5,0
1.461,6.055,5,0
1.462,6.06,5,0
1.463,6.065,5,0
1.464,6.07,5,0
1.465,6.075,5,0
1.466,6.08,5,0
1.467,6.085,5,0
1.468,6.09,5,0
1.469,6.095,5,0
1.47,6.1,5,0
1.471,6.105,5,0
1.472,6.11,5,0
1.473,6.115,5,0
1.474,6.12,5,0
1.475,6.125,5,0
1.476,6.13,5,0
1.477,6.135,5,0
1.478,6.14,5,0
1.479,6.145,5,0
1.48,6.15,5,0
1.481,6.155,5,0
1.482,6.16,5,0
1.483,6.165,5,0
1.484,6.17,5,0
1.485,6.175,5,0
1.486,6.18,5,0
1.487,6.185,5,0
1.488,6.19,5,0
1.489,6.195,5,0
1.49,6.2,5,0
1.491,6.205,5,0
1.492,6.21,5,0
1.493,6.215,5,0
1.494,6.22,5,0
1.495,6.225,5,0
1.496,6.23,5,0
1.497,6.235,5,0
1.498,6.24,5,0
1.499,6.245,5,0
1.5,6.25,5,0
1.501,6.255,5,0
1.502,6.26,5,0
1.503,6.265,5,0
1.504,6.27,5,0
1.505,6.275,5,0
1.506,6.28,5,0
1.507,6.285,5,0
1.508,6.29,5,0
1.509,6.295,5,0
1.51,6.3,5,0
1.511,6.305,5,0
1.512,6.31,5,0
1.513,6.315,5,0
1.514,6.32,5,0
1.515,6.325,5,0
1.516,6.33,5,0
1.517,6.335,5,0
1.518,6.34,5,0
1.519,6.345,5,0
1.52,6.35,5,0
1.521,6.355,5,0
1.522,6.36,5,0
1.523,6.365,5,0
1.524,6.37,5,0
1.525,6.375,5,0
1.526,6.38,5,0
1.527,6.385,5,0
1.528,6.39,5,0
1.529,6.395,5,0
1.53,6.4,5,0
1.531,6.405,5,0
1.532,6.41,5,0
1.533,6.415,5,0
1.534,6.42,5,0
1.535,6.425,5,0
1.536,6.43,5,0
1.537,6.435,5,0
1.538,6.44,5,0
1.539,6.445,5,0
1.54,6.45,5,0
1.541,6.455,5,0
1.542,6.46,5,0
1.543,6.465,5,0
1.544,6.47,5,0
1.545,6.475,5,0
1.546,6.48,5,0
1.547,6.485,5,0
1.548,6.49,5,0
1.549,6.495,5,0
1.55,6.5,5,0
1.551,6.505,5,0
1.552,6.51,5,0
1.553,6.515,5,0
1.554,6.52,5,0
1.555,6.525,5,0
1.556,6.53,5,0
1.557,6.535,5,0
1.558,6.54,5,0
1.559,6.545,5,0
1.56,6.55,5,0
1.561,6.555,5,0
1.562,6.56,5,0
1.563,6.565,5,0
1.564,6.57,5,0
1.565,6.575,5,0
1.566,6.58,5,0
1.567,6.585,5,0
1.568,6.59,5,0
1.569,6.595,5,0
1.57,6.6,5,0
1.571,6.605,5,0
1.572,6.61,5,0
1.573,6.615,5,0
1.574,6.62,5,0
1.575,6.625,5,0
1.576,6.63,5,0
1.577,6.635,5,0
1.578,6.64,5,0
1.579,6.645,5,0
1.58,6.65,5,0
1.581,6.655,5,0
1.582,6.66,5,0
1.583,6.665,5,0
1.584,6.67,5,0
1.585,6.675,5,0
1.586,6.68,5,0
1.587,6.685,5,0
1.588,6.69,5,0
1.589,6.695,5,0
1.59,6.7,5,0
1.591,6.705,5,0
1.592,6.71,5,0
1.593,6.715,5,0
1.594,6.72,5,0
1.595,6.725,5,0
1.596,6.73,5,0
1.597,6.735,5,0
1.598,6.74,5,0
1.599,6.745,5,0
1.6,6.75,5,0
1.601,6.755,5,0
1.602,6.76,5,0
1.603,6.765,5,0
1.604,6.77,5,0
1.605,6.775,5,0
1.606,6.78,5,0
1.607,6.785,5,0
1.608,6.79,5,0
1.609,6.795,5,0
1.61,6.8,5,0
1.611,6.805,5,0
1.612,6.81,5,0
1.613,6.815,5,0
1.614,6.82,5,0
1.615,6.825,5,0
1.616,6.83,5,0
1.617,6.835,5,0
1.618,6.84,5,0
1.619,6.845,5,0
1.62,6.85,5,0
1.621,6.855,5,0
1.622,6.86,5,0
1.623,6.865,5,0
1.624,6.87,5,0
1.625,6.875,5,0
1.626,6.88,5,0
1.627,6.885,5,0
1.628,6.89,5,0
1.629,6.895,5,0
1.63,6.9,5,0
1.631,6.905,5,0
1.632,6.91,5,0
1.633,6.915,5,0
1.634,6.92,5,0
1.635,6.925,5,0
1.636,6.93,5,0
1.637,6.935,5,0
1.638,6.94,5,0
1.639,6.945,5,0
1.64,6.95,5,0
1.641,6.955,5,0
1.642,6.96,5,0
1.643,6.965,5,0
1.644,6.97,5,0
1.645,6.975,5,0
1.646,6.98,5,0
1.647,6.985,5,0
1.648,6.99,5,0
1.649,6.995,5,0
1.65,7,5,0
1.651,7.005,5,0
1.652,7.01,5,0
1.653,7.015,5,0
1.654,7.02,5,0
1.655,7.025,5,0
1.656,7.03,5,0
1.657,7.035,5,0
1.658,7.04,5,0
1.659,7.045,5,0
1.66,7.05,5,0
1.661,7.055,5,0
1.662,7.06,5,0
1.663,7.065,5,0
1.664,7.07,5,0
1.665,7.075,5,0
1.666,7.08,5,0
1.667,7.085,5,0
1.668,7.09,5,0
1.669,7.095,5,0
1.67,7.1,5,0
1.671,7.105,5,0
1.672,7.11,5,0
1.673,7.115,5,0
1.674,7.12,5,0
1.675,7.125,5,0
1.676,7.13,5,0
1.677,7.135,5,0
1.678,7.14,5,0
1.679,7.145,5,0
1.68,7.15,5,0
1.681,7.155,5,0
1.682,7.16,5,0
1.683,7.165,5,0
1.684,7.17,5,0
1.685,7.175,5,0
1.686,7.18,5,0
1.687,7.185,5,0
1.688,7.19,5,0
1.689,7.195,5,0
1.69,7.2,5,0
1.691,7.205,5,0
1.692,7.21,5,0
1.693,7.215,5,0
1.694,7.22,5,0
1.695,7.225,5,0
1.696,7.23,5,0
1.697,7.235,5,0
1.698,7.24,5,0
1.699,7.245,5,0
1.7,7.25,5,0
1.701,7.255,5,0
1.702,7.26,5,0
1.703,7.265,5,0
1.704,7.27,5,0
1.705,7.275,5,0
1.706,7.28,5,0
1.707,7.285,5,0
1.708,7.29,5,0
1.709,7.295,5,0
1.71,7.3,5,0
1.711,7.305,5,0
1.712,7.31,5,0
1.713,7.315,5,0
1.714,7.32,5,0
1.715,7.325,5,0
1.716,7.33,5,0
1.717,7.335,5,0
1.718,7.34,5,0
1.719,7.345,5,0
1.72,7.35,5,0
1.721,7.355,5,0
1.722,7.36,5,0
1.723,7.365,5,0
1.724,7.37,5,0
1.725,7.375,5,0
1.726,7.38,5,0
1.727,7.385,5,0
1.728,7.39,5,0
1.729,7.395,5,0
1.73,7.4,5,0
1.731,7.405,5,0
1.732,7.41,5,0
1.733,7.415,5,0
1.734,7.42,5,0
1.735,7.425,5,0
1.736,7.43,5,0
1.737,7.435,5,0
1.738,7.44,5,0
1.739,7.445,5,0
1.74,7.45,5,0
1.741,7.455,5,0
1.742,7.46,5,0
1.743,7.465,5,0
1.744,7.47,5,0
1.745,7.475,5,0
1.746,7.48,5,0
1.747,7.485,5,0
1.748,7.49,5,0
1.749,7.495,5,0
1.75,7.5,5,0
1.751,7.505,5,0
1.752,7.51,5,0
1.753,7.515,5,0
1.754,7.52,5,0
1.755,7.525,5,0
1.756,7.53,5,0
1.757,7.535,5,0
1.758,7.54,5,0
1.759,7.545,5,0
1.76,7.55,5,0
1.761,7.555,5,0
1.762,7.56,5,0
1.763,7.565,5,0
1.764,7.57,5,0
1.765,7.575,5,0
1.766,7.58,5,0
1.767,7.585,5,0
1.768,7.59,5,0
1.769,7.595,5,0
1.77,7.6,5,0
1.771,7.605,5,0
1.772,7.61,5,0
1.773,7.615,5,0
1.774,7.62,5,0
1.775,7.625,5,0
1.776,7.63,5,0
1.777,7.635,5,0
1.778,7.64,5,0
1.779,7.645,5,0
1.78,7.65,5,0
1.781,7.655,5,0
1.782,7.66,5,0
1.783,7.665,5,0
1.784,7.67,5,0
1.785,7.675,5,0
1.786,7.68,5,0
1.787,7.685,5,0
1.788,7.69,5,0
1.789,7.695,5,0
1.79,7.7,5,0
1.791,7.705,5,0
1.792,7.71,5,0
1.793,7.715,5,0
1.794,7.72,5,0
1.795,7.725,5,0
1.796,7.73,5,0
1.797,7.735,5,0
1.798,7.74,5,0
1.799,7.745,5,0
1.8,7.75,5,0
1.801,7.755,5,0
1.802,7.76,5,0
1.803,7.765,5,0
1.804,7.77,5,0
1.805,7.775,5,0
1.806,7.78,5,0
1.807,7.785,5,0
1.808,7.79,5,0
1.809,7.795,5,0
1.81,7.8,5,0
1.811,7.805,5,0
1.812,7.81,5,0
1.813,7.815,5,0
1.814,7.82,5,0
1.815,7.825,5,0
1.816,7.83,5,0
1.817,7.835,5,0
1.818,7.84,5,0
1.819,7.845,5,0
1.82,7.85,5,0
1.821,7.855,5,0
1.822,7.86,5,0
1.823,7.865,5,0
1.824,7.87,5,0
1.825,7.875,5,0
1.826,7.88,5,0
1.827,7.885,5,0
1.828,7.89,5,0
1.829,7.895,5,0
1.83,7.9,5,0
1.831,7.905,5,0
1.832,7.91,5,0
1.833,7.915,5,0
1.834,7.92,5,0
1.835,7.925,5,0
1.836,7.93,5,0
1.837,7.935,5,0
1.838,7.94,5,0
1.839,7.945,5,0
1.84,7.95,5,0
1.841,7.955,5,0
1.842,7.96,5,0
1.843,7.965,5,0
1.844,7.97,5,0
1.845,7.975,5,0
1.846,7.98,5,0
1.847,7.985,5,0
1.848,7.99,5,0
1.849,7.995,5,0
1.85,8,5,0
1.851,8.005,5,0
1.852,8.01,5,0
1.853,8.015,5,0
1.854,8.02,5,0
1.855,8.025,5,0
1.856,8.03,5,0
1.857,8.035,5,0
1.858,8.04,5,0
1.859,8.045,5,0
1.86,8.05,5,0
1.861,8.055,5,0
1.862,8.06,5,0
1.863,8.065,5,0
1.864,8.07,5,0
1.865,8.075,5,0
1.866,8.08,5,0
1.867,8.085,5,0
1.868,8.09,5,0
1.869,8.095,5,0
1.87,8.1,5,0
1.871,8.105,5,0
1.872,8.11,5,0
1.873,8.115,5,0
1.874,8.12,5,0
1.875,8.125,5,0
1.876,8.13,5,0
1.877,8.135,5,0
1.878,8.14,5,0
1.879,8.145,5,0
1.88,8.15,5,0
1.881,8.155,5,0
1.882,8.16,5,0
1.883,8.165,5,0
1.884,8.17,5,0
1.885,8.175,5,0
1.886,8.18,5,0
1.887,8.185,5,0
1.888,8.19,5,0
1.889,8.195,5,0
1.89,8.2,5,0
1.891,8.205,5,0
1.892,8.21,5,0
1.893,8.215,5,0
1.894,8.22,5,0
1.895,8.225,5,0
1.896,8.23,5,0
1.897,8.235,5,0
1.898,8.24,5,0
1.899,8.245,5,0
1.9,8.25,5,0
1.901,8.255,5,0
1.902,8.26,5,0
1.903,8.265,5,0
1.904,8.27,5,0
1.905,8.275,5,0
1.906,8.28,5,0
1.907,8.285,5,0
1.908,8.29,5,0
1.909,8.295,5,0
1.91,8.3,5,0
1.911,8.305,5,0
1.912,8.31,5,0
1.913,8.315,5,0
1.914,8.32,5,0
1.915,8.325,5,0
1.916,8.33,5,0
1.917,8.335,5,0
1.918,8.34,5,0
1.919,8.345,5,0
1.92,8.35,5,0
1.921,8.355,5,0
1.922,8.36,5,0
1.923,8.365,5,0
1.924,8.37,5,0
1.925,8.375,5,0
1.926,8.38,5,0
1.927,8.385,5,0
1.928,8.39,5,0
1.929,8.395,5,0
1.93,8.4,5,0
1.931,8.405,5,0
1.932,8.41,5,0
1.933,8.415,5,0
1.934,8.42,5,0
1.935,8.425,5,0
1.936,8.43,5,0
1.937,8.435,5,0
1.938,8.44,5,0
1.939,8.445,5,0
1.94,8.45,5,0
1.941,8.455,5,0
1.942,8.46,5,0
1.943,8.465,5,0
1.944,8.47,5,0
1.945,8.475,5,0
1.946,8.48,5,0
1.947,8.485,5,0
1.948,8.49,5,0
1.949,8.495,5,0
1.95,8.5,5,0
1.951,8.505,5,0
1.952,8.51,5,0
1.953,8.515,5,0
1.954,8.52,5,0
1.955,8.525,5,0
1.956,8.53,5,0
1.957,8.535,5,0
1.958,8.54,5,0
1.959,8.545,5,0
1.96,8.55,5,0
1.961,8.555,5,0
1.962,8.56,5,0
1.963,8.565,5,0
1.964,8.57,5,0
1.965,8.575,5,0
1.966,8.58,5,0
1.967,8.585,5,0
1.968,8.59,5,0
1.969,8.595,5,0
1.97,8.6,5,0
1.971,8.605,5,0
1.972,8.61,5,0
1.973,8.615,5,0
1.974,8.62,5,0
1.975,8.625,5,0
1.976,8.63,5,0
1.977,8.635,5,0
1.978,8.64,5,0
1.979,8.645,5,0
1.98,8.65,5,0
1.981,8.655,5,0
1.982,8.66,5,0
1.983,8.665,5,0
1.984,8.67,5,0
1.985,8.675,5,0
1.986,8.68,5,0
1.987,8.685,5,0
1.988,8.69,5,0
1.989,8.695,5,0
1.99,8.7,5,0
1.991,8.705,5,0
1.992,8.71,5,0
1.993,8.715,5,0
1.994,8.72,5,0
1.995,8.725,5,0
1.996,8.73,5,0
1.997,8.735,5,0
1.998,8.74,5,0
1.999,8.745,5,0
2,8.75,5,-10
2.001,8.75499,4.99,-10
2.002,8.75998,4.98,-10
2.003,8.76496,4.97,-10
2.004,8.76992,4.96,-10
2.005,8.77488,4.95,-10
2.006,8.77982,4.94,-10
2.007,8.78475,4.93,-10
2.008,8.78968,4.92,-10
2.009,8.7946,4.91,-10
2.01,8.7995,4.9,-10
2.011,8.80439,4.89,-10
2.012,8.80928,4.88,-10
2.013,8.81415,4.87,-10
2.014,8.81902,4.86,-10
2.015,8.82388,4.85,-10
2.016,8.82872,4.84,-10
2.017,8.83356,4.83,-10
2.018,8.83838,4.82,-10
2.019,8.84319,4.81,-10
2.02,8.848,4.8,-10
2.021,8.85279,4.79,-10
2.022,8.85758,4.78,-10
2.023,8.86236,4.77,-10
2.024,8.86712,4.76,-10
2.025,8.87188,4.75,-10
2.026,8.87662,4.74,-10
2.027,8.88135,4.73,-10
2.028,8.88608,4.72,-10
2.029,8.89079,4.71,-10
2.03,8.8955,4.7,-10
2.031,8.90019,4.69,-10
2.032,8.90488,4.68,-10
2.033,8.90956,4.67,-10
2.034,8.91422,4.66,-10
2.035,8.91888,4.65,-10
2.036,8.92352,4.64,-10
2.037,8.92815,4.63,-10
2.038,8.93278,4.62,-10
2.039,8.9374,4.61,-10
2.04,8.942,4.6,-10
2.041,8.94659,4.59,-10
2.042,8.95118,4.58,-10
2.043,8.95576,4.57,-10
2.044,8.96032,4.56,-10
2.045,8.96488,4.55,-10
2.046,8.96942,4.54,-10
2.047,8.97396,4.53,-10
2.048,8.97848,4.52,-10
2.049,8.983,4.51,-10
2.05,8.9875,4.5,-10
2.051,8.992,4.49,-10
2.052,8.99648,4.48,-10
2.053,9.00095,4.47,-10
2.054,9.00542,4.46,-10
2.055,9.00988,4.45,-10
2.056,9.01432,4.44,-10
2.057,9.01875,4.43,-10
2.058,9.02318,4.42,-10
2.059,9.0276,4.41,-10
2.06,9.032,4.4,-10
2.061,9.0364,4.39,-10
2.062,9.04078,4.38,-10
2.063,9.04515,4.37,-10
2.064,9.04952,4.36,-10
2.065,9.05387,4.35,-10
2.066,9.05822,4.34,-10
2.067,9.06255,4.33,-10
2.068,9.06688,4.32,-10
2.069,9.07119,4.31,-10
2.07,9.0755,4.3,-10
2.071,9.0798,4.29,-10
2.072,9.08408,4.28,-10
2.073,9.08836,4.27,-10
2.074,9.09262,4.26,-10
2.075,9.09688,4.25,-10
2.076,9.10112,4.24,-10
2.077,9.10535,4.23,-10
2.078,9.10958,4.22,-10
2.079,9.1138,4.21,-10
2.08,9.118,4.2,-10
2.081,9.1222,4.19,-10
2.082,9.12638,4.18,-10
2.083,9.13056,4.17,-10
2.084,9.13472,4.16,-10
2.085,9.13888,4.15,-10
2.086,9.14302,4.14,-10
2.087,9.14715,4.13,-10
2.088,9.15128,4.12,-10
2.089,9.15539,4.11,-10
2.09,9.1595,4.1,-10
2.091,9.1636,4.09,-10
2.092,9.16768,4.08,-10
2.093,9.17175,4.07,-10
2.094,9.17582,4.06,-10
2.095,9.17988,4.05,-10
2.096,9.18392,4.04,-10
2.097,9.18795,4.03,-10
2.098,9.19198,4.02,-10
2.099,9.196,4.01,-10
2.1,9.2,4,-10
2.101,9.204,3.99,-10
2.102,9.20798,3.98,-10
2.103,9.21196,3.97,-10
2.104,9.21592,3.96,-10
2.105,9.21988,3.95,-10
2.106,9.22382,3.94,-10
2.107,9.22776,3.93,-10
2.108,9.23168,3.92,-10
2.109,9.23559,3.91,-10
2.11,9.2395,3.9,-10
2.111,9.24339,3.89,-10
2.112,9.24728,3.88,-10
2.113,9.25115,3.87,-10
2.114,9.25502,3.86,-10
2.115,9.25887,3.85,-10
2.116,9.26272,3.84,-10
2.117,9.26656,3.83,-10
2.118,9.27038,3.82,-10
2.119,9.27419,3.81,-10
2.12,9.278,3.8,-10
2.121,9.2818,3.79,-10
2.122,9.28558,3.78,-10
2.123,9.28935,3.77,-10
2.124,9.29312,3.76,-10
2.125,9.29688,3.75,-10
2.126,9.30062,3.74,-10
2.127,9.30436,3.73,-10
2.128,9.30808,3.72,-10
2.129,9.3118,3.71,-10
2.13,9.3155,3.7,-10
2.131,9.31919,3.69,-10
2.132,9.32288,3.68,-10
2.133,9.32655,3.67,-10
2.134,9.33022,3.66,-10
2.135,9.33387,3.65,-10
2.136,9.33752,3.64,-10
2.137,9.34116,3.63,-10
2.138,9.34478,3.62,-10
2.139,9.34839,3.61,-10
2.14,9.352,3.6,-10
2.141,9.3556,3.59,-10
2.142,9.35918,3.58,-10
2.143,9.36275,3.57,-10
2.144,9.36632,3.56,-10
2.145,9.36987,3.55,-10
2.146,9.37342,3.54,-10
2.147,9.37696,3.53,-10
2.148,9.38048,3.52,-10
2.149,9.384,3.51,-10
2.15,9.3875,3.5,-10
2.151,9.391,3.49,-10
2.152,9.39448,3.48,-10
2.153,9.39795,3.47,-10
2.154,9.40142,3.46,-10
2.155,9.40487,3.45,-10
2.156,9.40832,3.44,-10
