t,x,v,a
0.214,0.22898,2.14,10
0.215,0.231125,2.15,10
0.216,0.23328,2.16,10
0.217,0.235445,2.17,10
0.218,0.23762,2.18,10
0.219,0.239805,2.19,10
0.22,0.242,2.2,10
0.221,0.244205,2.21,10
0.222,0.24642,2.22,10
0.223,0.248645,2.23,10
0.224,0.25088,2.24,10
0.225,0.253125,2.25,10
0.226,0.25538,2.26,10
0.227,0.257645,2.27,10
0.228,0.25992,2.28,10
0.229,0.262205,2.29,10
0.23,0.2645,2.3,10
0.231,0.266805,2.31,10
0.232,0.26912,2.32,10
0.233,0.271445,2.33,10
0.234,0.27378,2.34,10
0.235,0.276125,2.35,10
0.236,0.27848,2.36,10
0.237,0.280845,2.37,10
0.238,0.28322,2.38,10
0.239,0.285605,2.39,10
0.24,0.288,2.4,10
0.241,0.290405,2.41,10
0.242,0.29282,2.42,10
0.243,0.295245,2.43,10
0.244,0.29768,2.44,10
0.245,0.300125,2.45,10
0.246,0.30258,2.46,10
0.247,0.305045,2.47,10
0.248,0.30752,2.48,10
0.249,0.310005,2.49,10
0.25,0.3125,2.5,10
0.251,0.315005,2.51,10
0.252,0.31752,2.52,10
0.253,0.320045,2.53,10
0.254,0.32258,2.54,10
0.255,0.325125,2.55,10
0.256,0.32768,2.56,10
0.257,0.330245,2.57,10
0.258,0.33282,2.58,10
0.259,0.335405,2.59,10
0.26,0.338,2.6,10
0.261,0.340605,2.61,10
0.262,0.34322,2.62,10
0.263,0.345845,2.63,10
0.264,0.34848,2.64,10
0.265,0.351125,2.65,10
0.266,0.35378,2.66,10
0.267,0.356445,2.67,10
0.268,0.35912,2.68,10
0.269,0.361805,2.69,10
0.27,0.3645,2.7,10
0.271,0.367205,2.71,10
0.272,0.36992,2.72,10
0.273,0.372645,2.73,10
0.274,0.37538,2.74,10
0.275,0.378125,2.75,10
0.276,0.38088,2.76,10
0.277,0.383645,2.77,10
0.278,0.38642,2.78,10
0.279,0.389205,2.79,10
0.28,0.392,2.8,10
0.281,0.394805,2.81,10
0.282,0.39762,2.82,10
0.283,0.400445,2.83,10
0.284,0.40328,2.84,10
0.285,0.406125,2.85,10
0.286,0.40898,2.86,10
0.287,0.411845,2.87,10
0.288,0.41472,2.88,10
0.289,0.417605,2.89,10
0.29,0.4205,2.9,10
0.291,0.423405,2.91,10
0.292,0.42632,2.92,10
0.293,0.429245,2.93,10
0.294,0.43218,2.94,10
0.295,0.435125,2.95,10
0.296,0.43808,2.96,10
0.297,0.441045,2.97,10
0.298,0.44402,2.98,10
0.299,0.447005,2.99,10
0.3,0.45,3,10
0.301,0.453005,3.01,10
0.302,0.45602,3.02,10
0.303,0.459045,3.03,10
0.304,0.46208,3.04,10
0.305,0.465125,3.05,10
0.306,0.46818,3.06,10
0.307,0.471245,3.07,10
0.308,0.47432,3.08,10
0.309,0.477405,3.09,10
0.31,0.4805,3.1,10
0.311,0.483605,3.11,10
0.312,0.48672,3.12,10
0.313,0.489845,3.13,10
0.314,0.49298,3.14,10
0.315,0.496125,3.15,10
0.316,0.49928,3.16,10
0.317,0.502445,3.17,10
0.318,0.50562,3.18,10
0.319,0.508805,3.19,10
0.32,0.512,3.2,10
0.321,0.515205,3.21,10
0.322,0.51842,3.22,10
0.323,0.521645,3.23,10
0.324,0.52488,3.24,10
0.325,0.528125,3.25,10
0.326,0.53138,3.26,10
0.327,0.534645,3.27,10
0.328,0.53792,3.28,10
0.329,0.541205,3.29,10
0.33,0.5445,3.3,10
0.331,0.547805,3.31,10
0.332,0.55112,3.32,10
0.333,0.554445,3.33,10
0.334,0.55778,3.34,10
0.335,0.561125,3.35,10
0.336,0.56448,3.36,10
0.337,0.567845,3.37,10
0.338,0.57122,3.38,10
0.339,0.574605,3.39,10
0.34,0.578,3.4,10
0.341,0.581405,3.41,10
0.342,0.58482,3.42,10
0.343,0.588245,3.43,10
0.344,0.59168,3.44,10
0.345,0.595125,3.45,10
0.346,0.59858,3.46,10
0.347,0.602045,3.47,10
0.348,0.60552,3.48,10
0.349,0.609005,3.49,10
0.35,0.6125,3.5,10
0.351,0.616005,3.51,10
0.352,0.61952,3.52,10
0.353,0.623045,3.53,10
0.354,0.62658,3.54,10
0.355,0.630125,3.55,10
0.356,0.63368,3.56,10
0.357,0.637245,3.57,10
0.358,0.64082,3.58,10
0.359,0.644405,3.59,10
0.36,0.648,3.6,10
0.361,0.651605,3.61,10
0.362,0.65522,3.62,10
0.363,0.658845,3.63,10
0.364,0.66248,3.64,10
0.365,0.666125,3.65,10
0.366,0.66978,3.66,10
0.367,0.673445,3.67,10
0.368,0.67712,3.68,10
0.369,0.680805,3.69,10
0.37,0.6845,3.7,10
0.371,0.688205,3.71,10
0.372,0.69192,3.72,10
0.373,0.695645,3.73,10
0.374,0.69938,3.74,10
0.375,0.703125,3.75,10
0.376,0.70688,3.76,10
0.377,0.710645,3.77,10
0.378,0.71442,3.78,10
0.379,0.718205,3.79,10
0.38,0.722,3.8,10
0.381,0.725805,3.81,10
0.382,0.72962,3.82,10
0.383,0.733445,3.83,10
0.384,0.73728,3.84,10
0.385,0.741125,3.85,10
0.386,0.74498,3.86,10
0.387,0.748845,3.87,10
0.388,0.75272,3.88,10
0.389,0.756605,3.89,10
0.39,0.7605,3.9,10
0.391,0.764405,3.91,10
0.392,0.76832,3.92,10
0.393,0.772245,3.93,10
0.394,0.77618,3.94,10
0.395,0.780125,3.95,10
0.396,0.78408,3.96,10
0.397,0.788045,3.97,10
0.398,0.79202,3.98,10
0.399,0.796005,3.99,10
0.4,0.8,4,10
0.401,0.804005,4.01,10
0.402,0.80802,4.02,10
0.403,0.812045,4.03,10
0.404,0.81608,4.04,10
0.405,0.820125,4.05,10
0.406,0.82418,4.06,10
0.407,0.828245,4.07,10
0.408,0.83232,4.08,10
0.409,0.836405,4.09,10
0.41,0.8405,4.1,10
0.411,0.844605,4.11,10
0.412,0.84872,4.12,10
0.413,0.852845,4.13,10
0.414,0.85698,4.14,10
0.415,0.861125,4.15,10
0.416,0.86528,4.16,10
0.417,0.869445,4.17,10
0.418,0.87362,4.18,10
0.419,0.877805,4.19,10
0.42,0.882,4.2,10
0.421,0.886205,4.21,10
0.422,0.89042,4.22,10
0.423,0.894645,4.23,10
0.424,0.89888,4.24,10
0.425,0.903125,4.25,10
0.426,0.90738,4.26,10
0.427,0.911645,4.27,10
0.428,0.91592,4.28,10
0.429,0.920205,4.29,10
0.43,0.9245,4.3,10
0.431,0.928805,4.31,10
0.432,0.93312,4.32,10
0.433,0.937445,4.33,10
0.434,0.94178,4.34,10
0.435,0.946125,4.35,10
0.436,0.95048,4.36,10
0.437,0.954845,4.37,10
0.438,0.95922,4.38,10
0.439,0.963605,4.39,10
0.44,0.968,4.4,10
0.441,0.972405,4.41,10
0.442,0.97682,4.42,10
0.443,0.981245,4.43,10
0.444,0.98568,4.44,10
0.445,0.990125,4.45,10
0.446,0.99458,4.46,10
0.447,0.999045,4.47,10
0.448,1.00352,4.48,10
0.449,1.00801,4.49,10
0.45,1.0125,4.5,10
0.451,1.017,4.51,10
0.452,1.02152,4.52,10
0.453,1.02605,4.53,10
0.454,1.03058,4.54,10
0.455,1.03513,4.55,10
0.456,1.03968,4.56,10
0.457,1.04424,4.57,10
0.458,1.04882,4.58,10
0.459,1.0534,4.59,10
0.46,1.058,4.6,10
0.461,1.06261,4.61,10
0.462,1.06722,4.62,10
0.463,1.07185,4.63,10
0.464,1.07648,4.64,10
0.465,1.08113,4.65,10
0.466,1.08578,4.66,10
0.467,1.09045,4.67,10
0.468,1.09512,4.68,10
0.469,1.0998,4.69,10
0.47,1.1045,4.7,10
0.471,1.1092,4.71,10
0.472,1.11392,4.72,10
0.473,1.11864,4.73,10
0.474,1.12338,4.74,10
0.475,1.12812,4.75,10
0.476,1.13288,4.76,10
0.477,1.13765,4.77,10
0.478,1.14242,4.78,10
0.479,1.1472,4.79,10
0.48,1.152,4.8,10
0.481,1.15681,4.81,10
0.482,1.16162,4.82,10
0.483,1.16645,4.83,10
0.484,1.17128,4.84,10
0.485,1.17613,4.85,10
0.486,1.18098,4.86,10
0.487,1.18584,4.87,10
